case_id,trade_nm,cty_nm,st_cd,h2a_violtn_cnt,h2b_violtn_cnt,findings_start_date,year filed
1654034,"Elmwood Stock Farm, LLC",Georgetown,KY,1,0,6/1/2010,2010
1475808,Horton Vineyards,Gordonsville,VA,1,0,4/24/2005,2005
1652066,"Keith Smith, AGER",Four Oaks,NC,1,0,4/12/2011,2011
1636970,"Terry & Joe Baker Farms, LLC",Norman Park,GA,1,0,11/17/2009,2009
1484514,David Mitchell,Penhook,VA,1,0,2/28/2007,2007
1495506,Twin Orchards - Sodus,Sodus,NY,1,0,10/16/2005,2005
1515652,Bishop House,Chesnee,SC,1,0,5/22/2006,2006
1369469,Richard Burke dba Burke Ranches,Dubois,ID,1,0,4/3/2004,2004
1446456,"Oliver C. Mayhew, Jr.",Blairs,VA,1,0,4/5/2006,2006
1446271,Geronimo Sheep Co.,Vernal,UT,1,0,7/16/2004,2004
1446470,Jerry Moser,Java,VA,1,0,7/19/2004,2004
1426866,Hermesch Harvesting,Coweta,OK,1,0,9/16/2005,2005
1423797,"Kalir Enterprises, Inc.",Brockport,NY,1,0,10/4/2005,2005
1708286,Brookdale Fruit Farm,Hollis,NH,1,0,9/27/2011,2011
1704521,T. Bell Detasseling L.L.C.,Lone Tree,IA,1,0,2/25/2013,2013
1653306,Hudson Farms,Alton,VA,1,0,5/6/2010,2010
1694154,"Fournerat Toups Farms, LLC",Basile,LA,1,0,5/24/2011,2011
1677441,Southern Gardens Citrus,Clewiston,FL,1,0,1/13/2011,2011
1675965,Honey Brook Organic Farm,Pennington,NJ,1,0,3/18/2012,2012
1697235,George B. Dianis,Emporia,VA,1,0,6/17/2011,2011
1697229,T & T Farm LLC,Lawrenceville,VA,1,0,6/23/2011,2011
1693278,"Green Mountain Orchards, Inc.",Putney,VT,1,0,5/2/2011,2011
1692168,Riggs Brother Farm,Pollocksville,NC,1,0,1/1/2013,2013
1675672,Shatley Farms,Jefferson,NC,1,0,6/2/2012,2012
1666686,Pepin Lumber,Coburn Gore,ME,1,0,9/15/2011,2011
1602269,Barnett Farm,Clarksville,TN,1,0,12/9/2008,2008
1412368,Richland Farms Partnership,Lake Benton,MN,1,0,3/1/2005,2005
1406823,Riverside Farms,Alberta,VA,1,0,7/3/2003,2003
1665197,Roe Orchards,Chester,NY,1,0,10/26/2011,2011
1545086,Timothy C. Napier,Keysville,VA,1,0,6/14/2007,2007
1484144,Donna K. Haskins,Chatham,VA,1,0,7/7/2005,2005
1689505,"Nowak Farms, LLC",Suffield,CT,1,0,5/22/2011,2011
1411304,Clarence A. Emerson,Dry Fork,VA,1,0,6/26/2003,2003
1409226,Sandhill Turf,Candor,NC,1,0,8/10/2004,2004
1518890,Coosaw Farm Camp #1,Fairfax,SC,1,0,2/1/2008,2008
1652078,"Stuart Pierce, AGER",Ahoskie,NC,1,0,5/3/2010,2010
1702947,"Patterson Farm, Inc.",China Grove,NC,1,0,3/14/2012,2012
1598731,Maria . Perez,Lyons,GA,1,0,8/14/2010,2010
1637537,Alta Citrus LLC,Avon Park,FL,1,0,12/5/2011,2011
1393514,Boisvert Farm,Hadley,MA,1,0,2/1/2003,2003
1671908,Clark Farms,Granby,CT,1,0,10/25/2010,2010
1414712,"Mulnite Farms, Inc.",Broad Brook,CT,1,0,8/8/2003,2003
1446410,Tex Adkins,Chatham,VA,1,0,6/30/2004,2004
1653308,"Clary Farms, Inc.",South Hill,VA,1,0,5/7/2010,2010
1368379,Fox Hill Farm,Enfield,CT,1,0,9/15/2002,2002
1617657,Andrew Tyson,Nashville,NC,1,0,8/17/2009,2009
1381518,Corwith Farms Inc.,Water Mill,NY,1,0,10/1/2002,2002
1511705,Ward Oyster Co.,Gloucester,VA,1,0,5/18/2006,2006
1397253,"Tri-Turf Sod Farms, Inc.",Paris,TN,1,0,7/29/2003,2003
1385779,Simplot Livestock,Grand View,ID,1,0,9/26/2004,2004
1380763,Bowman Orchard,Rexford,NY,1,0,8/30/2004,2004
1514006,John Hammond,Louisville,KY,2,0,5/28/2006,2006
1479367,Scott Olsen,Spanish Fork,UT,2,0,5/26/2005,2005
1441689,James Cooley Farms,Chesnee,SC,2,0,4/20/2005,2005
1631813,"Sandy Knoll Farms, Inc",Lyndonville,NY,2,0,10/6/2009,2009
1620518,Rainbow Farms,Madison,OH,2,0,7/25/2009,2009
1617962,Terrell & Johnny Williams,Autryville,NC,2,0,6/18/2009,2009
1614492,Ohman's Produce,Hartville,OH,2,0,6/3/2009,2009
1620371,Stan Armstrong Farms,La Center,KY,2,0,7/14/2009,2009
1642576,McNeill Labor Management,Bunnell,FL,2,0,12/26/2011,2011
1446437,T. J. Fuller,Gretna,VA,2,0,7/13/2004,2004
1629915,David Mann,Fort Blackmore,VA,2,0,4/25/2011,2011
1625396,"Alewelt, Inc.",Alden,IA,2,0,4/10/2010,2010
1492872,"John Peroulis and Sons Sheep, Inc",Craig,CO,2,0,2/3/2007,2007
1590833,Jeff Hunewill,Wellington,NV,2,0,3/15/2009,2009
1512244,Bluff Gardens,Harbor Springs,MI,2,0,6/3/2006,2006
1473047,OB Sheep,Mapleton,UT,2,0,5/26/2005,2005
1645552,Pascal Lessard Inc.,Rangeley,ME,2,0,2/23/2010,2010
1602278,River Bluff Farm,Clarksville,TN,2,0,4/8/2010,2010
1598194,"Captain Cook Honey, Ltd.",Captain Cook,HI,2,0,1/1/2010,2010
1590841,Texas Speciality Cut Flowers,Wimberley,TX,2,0,2/15/2010,2010
1649568,"Bieber Farm Management, Inc.",Mamou,LA,2,0,1/1/2011,2011
1637431,Sexton Farms,Jefferson,NC,2,0,12/9/2009,2009
1637430,Cartner Christmas Tree Farm,Newland,NC,2,0,3/4/2010,2010
1620935,North Star Construction,Webster City,IA,2,0,7/29/2009,2009
1601172,Four Star,Oakes,ND,2,0,4/15/2010,2010
1583724,John Durand Farms,Saint Martinville,LA,2,0,6/16/2008,2008
1582524,Fulton Farms,Troy,OH,2,0,6/20/2007,2007
1579340,"Painter & Company, Inc.",Evanston,WY,2,0,6/16/2008,2008
1578626,Dixie Belle Peaches,Ridge Spring,SC,2,0,1/8/2010,2010
1554011,Brull Harvesting,Pierre,SD,2,0,1/1/2009,2009
1550838,Sims Trucking,Otis,CO,2,0,3/30/2008,2008
1534586,E.T Ag Services,Orange,VA,2,0,1/1/2007,2007
1620141,Larry Robinson,Rifle,CO,2,0,6/18/2009,2009
1586738,Merryvale Farms,Deltaville,VA,2,0,7/26/2008,2008
1560721,Starbrite Farm,Andover,NJ,2,0,11/12/2007,2007
1525406,Albrin Fruit Farm,Lyons,NY,2,0,5/5/2008,2008
1490549,"Seaway Timber Harvesting, Inc.",Massena,NY,2,0,9/14/2005,2005
1446411,Rufus H. Adkins,Blairs,VA,2,0,6/29/2004,2004
1621602,Samuel Church,Deep Gap,NC,2,0,1/1/2010,2010
1689515,Dixie Belle,Ridge Spring,SC,2,0,1/13/2012,2012
1686920,Miller Farms,Farmington,KY,2,0,4/4/2011,2011
1677193,Consolation Farms #2,Crofton,KY,2,0,12/23/2010,2010
1670406,Danny Joe Pope Farm,Clinton,NC,2,0,4/15/2012,2012
1667334,"Raffiani & Hahn Ent., Inc",Catskill,NY,2,0,9/20/2010,2010
1667311,"Clover Leaf Nurseries, Inc",Albany,NY,2,0,1/2/2011,2011
1663555,R & R Harvesting,Labelle,FL,2,0,7/14/2012,2012
1653347,Fitzgerald Farms,Princeton,KY,2,0,4/14/2010,2010
1641263,"Rodriguez Citrus Harvesting, Inc",Labelle,FL,2,0,12/5/2010,2010
1639054,"Scottsdale Farms, Inc.",Alpharetta,GA,2,0,12/14/2009,2009
1582523,Jamie's Mulch & Topsoil,West Chester,OH,2,0,5/26/2008,2008
1544038,Gurosik's Berry Plantation,North Augusta,SC,2,0,4/22/2007,2007
1540451,Color Star Growers of Colorado,Peyton,CO,2,0,3/31/2007,2007
1537670,"Barajas, Hector FLC",Arcadia,FL,2,0,10/25/2008,2008
1533540,Wagner Farms,Lodi,NY,2,0,2/16/2008,2008
1525271,Island Design & Landscaping Inc.,Dix Hills,NY,2,0,9/14/2006,2006
1525157,Twin Ponds Nursery,Rhinebeck,NY,2,0,1/1/2007,2007
1522289,"Twin Brooks Garden Center, Inc",Millbrook,NY,2,0,10/6/2006,2006
1520247,Garden Outlet/The Yard,East Moriches,NY,2,0,9/1/2006,2006
1517079,Dixie Belle,Ridge Spring,SC,2,0,1/1/2007,2007
1502950,Diaz & Sons,San Luis,AZ,2,0,11/1/2007,2007
1486470,Patterson Farms,Chesterland,OH,2,0,9/3/2005,2005
1485123,"Van Houtte Farm, George",Armada,MI,2,0,8/5/2005,2005
1510045,"Merryvale Farms, Inc.",Deltaville,VA,2,0,5/6/2006,2006
1508845,Mt. Clifton Fruit Company,Timberville,VA,2,0,4/23/2006,2006
1493286,Sweet Dreams Farm,Valatie,NY,2,0,3/10/2007,2007
1492610,John Peroulis and Sons,Craig,CO,2,0,10/16/2006,2006
1454181,"Thorn Custom Harvesting, LLC",Houston,MS,2,0,9/1/2005,2005
1484145,Danny Carroll Osborne,Callands,VA,2,0,7/17/2005,2005
1470789,"Bramer Sod Farms, Inc.",Louisville,KY,2,0,3/8/2005,2005
1458129,Emerald Valley Ranches,Caribou,ME,2,0,10/11/2004,2004
1532973,County Line Farms,Summer Shade,KY,2,0,2/19/2007,2007
1667341,DeForge Farm & Greenhouse Inc.,Schenectady,NY,2,0,2/15/2012,2012
1660414,"Cotton Hope Orchards, Inc.",Monetta,SC,2,0,12/28/2010,2010
1659654,Millers Honey Farm,Gackle,ND,2,0,7/11/2010,2010
1652058,"Kay Fisher, AGER",Whitakers,NC,2,0,5/2/2010,2010
1631123,Canam Harvesting LLC,Seaford,DE,2,0,5/8/2010,2010
1572096,Taylor Orchards,Reynolds,GA,2,0,2/22/2008,2008
